khmer,english,category,frequency,safe_remove,level,domains,token_type,notes
2949,latin numeral 2949,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2950,latin numeral 2950,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2951,latin numeral 2951,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2952,latin numeral 2952,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2953,latin numeral 2953,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2954,latin numeral 2954,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2955,latin numeral 2955,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2956,latin numeral 2956,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2957,latin numeral 2957,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2958,latin numeral 2958,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2959,latin numeral 2959,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2960,latin numeral 2960,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2961,latin numeral 2961,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2962,latin numeral 2962,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2963,latin numeral 2963,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2964,latin numeral 2964,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2965,latin numeral 2965,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2966,latin numeral 2966,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2967,latin numeral 2967,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2968,latin numeral 2968,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2969,latin numeral 2969,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2970,latin numeral 2970,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2971,latin numeral 2971,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2972,latin numeral 2972,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2973,latin numeral 2973,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2974,latin numeral 2974,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2975,latin numeral 2975,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2976,latin numeral 2976,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2977,latin numeral 2977,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2978,latin numeral 2978,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2979,latin numeral 2979,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2980,latin numeral 2980,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2981,latin numeral 2981,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2982,latin numeral 2982,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2983,latin numeral 2983,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2984,latin numeral 2984,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2985,latin numeral 2985,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2986,latin numeral 2986,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2987,latin numeral 2987,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2988,latin numeral 2988,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2989,latin numeral 2989,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2990,latin numeral 2990,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2991,latin numeral 2991,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2992,latin numeral 2992,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2993,latin numeral 2993,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2994,latin numeral 2994,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2995,latin numeral 2995,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2996,latin numeral 2996,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2997,latin numeral 2997,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2998,latin numeral 2998,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
2999,latin numeral 2999,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3000,latin numeral 3000,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3001,latin numeral 3001,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3002,latin numeral 3002,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3003,latin numeral 3003,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3004,latin numeral 3004,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3005,latin numeral 3005,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3006,latin numeral 3006,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3007,latin numeral 3007,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3008,latin numeral 3008,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3009,latin numeral 3009,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3010,latin numeral 3010,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3011,latin numeral 3011,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3012,latin numeral 3012,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3013,latin numeral 3013,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3014,latin numeral 3014,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3015,latin numeral 3015,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3016,latin numeral 3016,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3017,latin numeral 3017,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3018,latin numeral 3018,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3019,latin numeral 3019,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3020,latin numeral 3020,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3021,latin numeral 3021,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3022,latin numeral 3022,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3023,latin numeral 3023,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3024,latin numeral 3024,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3025,latin numeral 3025,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3026,latin numeral 3026,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3027,latin numeral 3027,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3028,latin numeral 3028,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3029,latin numeral 3029,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3030,latin numeral 3030,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3031,latin numeral 3031,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3032,latin numeral 3032,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3033,latin numeral 3033,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3034,latin numeral 3034,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3035,latin numeral 3035,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3036,latin numeral 3036,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3037,latin numeral 3037,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3038,latin numeral 3038,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3039,latin numeral 3039,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3040,latin numeral 3040,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3041,latin numeral 3041,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3042,latin numeral 3042,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3043,latin numeral 3043,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3044,latin numeral 3044,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3045,latin numeral 3045,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3046,latin numeral 3046,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3047,latin numeral 3047,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3048,latin numeral 3048,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3049,latin numeral 3049,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3050,latin numeral 3050,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3051,latin numeral 3051,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3052,latin numeral 3052,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3053,latin numeral 3053,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3054,latin numeral 3054,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3055,latin numeral 3055,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3056,latin numeral 3056,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3057,latin numeral 3057,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3058,latin numeral 3058,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3059,latin numeral 3059,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3060,latin numeral 3060,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3061,latin numeral 3061,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3062,latin numeral 3062,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3063,latin numeral 3063,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3064,latin numeral 3064,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3065,latin numeral 3065,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3066,latin numeral 3066,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3067,latin numeral 3067,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3068,latin numeral 3068,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3069,latin numeral 3069,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3070,latin numeral 3070,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3071,latin numeral 3071,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3072,latin numeral 3072,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3073,latin numeral 3073,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3074,latin numeral 3074,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3075,latin numeral 3075,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3076,latin numeral 3076,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3077,latin numeral 3077,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3078,latin numeral 3078,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3079,latin numeral 3079,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3080,latin numeral 3080,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3081,latin numeral 3081,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3082,latin numeral 3082,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3083,latin numeral 3083,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3084,latin numeral 3084,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3085,latin numeral 3085,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3086,latin numeral 3086,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3087,latin numeral 3087,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3088,latin numeral 3088,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3089,latin numeral 3089,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3090,latin numeral 3090,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3091,latin numeral 3091,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3092,latin numeral 3092,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3093,latin numeral 3093,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3094,latin numeral 3094,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3095,latin numeral 3095,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3096,latin numeral 3096,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3097,latin numeral 3097,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3098,latin numeral 3098,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3099,latin numeral 3099,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3100,latin numeral 3100,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3101,latin numeral 3101,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3102,latin numeral 3102,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3103,latin numeral 3103,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3104,latin numeral 3104,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3105,latin numeral 3105,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3106,latin numeral 3106,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3107,latin numeral 3107,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3108,latin numeral 3108,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3109,latin numeral 3109,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3110,latin numeral 3110,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3111,latin numeral 3111,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3112,latin numeral 3112,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3113,latin numeral 3113,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3114,latin numeral 3114,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3115,latin numeral 3115,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3116,latin numeral 3116,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3117,latin numeral 3117,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3118,latin numeral 3118,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3119,latin numeral 3119,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3120,latin numeral 3120,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3121,latin numeral 3121,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3122,latin numeral 3122,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3123,latin numeral 3123,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3124,latin numeral 3124,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3125,latin numeral 3125,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3126,latin numeral 3126,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3127,latin numeral 3127,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3128,latin numeral 3128,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3129,latin numeral 3129,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3130,latin numeral 3130,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3131,latin numeral 3131,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3132,latin numeral 3132,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3133,latin numeral 3133,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3134,latin numeral 3134,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3135,latin numeral 3135,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3136,latin numeral 3136,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3137,latin numeral 3137,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3138,latin numeral 3138,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3139,latin numeral 3139,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3140,latin numeral 3140,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3141,latin numeral 3141,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3142,latin numeral 3142,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3143,latin numeral 3143,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3144,latin numeral 3144,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3145,latin numeral 3145,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3146,latin numeral 3146,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3147,latin numeral 3147,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3148,latin numeral 3148,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3149,latin numeral 3149,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3150,latin numeral 3150,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3151,latin numeral 3151,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3152,latin numeral 3152,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3153,latin numeral 3153,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3154,latin numeral 3154,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3155,latin numeral 3155,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3156,latin numeral 3156,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3157,latin numeral 3157,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3158,latin numeral 3158,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3159,latin numeral 3159,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3160,latin numeral 3160,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3161,latin numeral 3161,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3162,latin numeral 3162,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3163,latin numeral 3163,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3164,latin numeral 3164,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3165,latin numeral 3165,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3166,latin numeral 3166,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3167,latin numeral 3167,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3168,latin numeral 3168,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3169,latin numeral 3169,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3170,latin numeral 3170,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3171,latin numeral 3171,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3172,latin numeral 3172,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3173,latin numeral 3173,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3174,latin numeral 3174,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3175,latin numeral 3175,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3176,latin numeral 3176,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
3177,latin numeral 3177,quantifier,Low,Caution,Aggressive,news|social|ocr|web,noise,Latin digit token; preserve for finance/QA.
